Site,ACD_LOCATION,IDM_EIR_site,COUNTRY,INC,INC_LAR,INC_UAR,INTERVENTION,EIR,EIR_FOR_SIM,EIR_FOR_SIM_V2,EIR_FOR_SIM_V3,SEASON_FOR_SIM,SIM_RUN_PRIORITY,START_YEAR,PI_ID,INC_AUTHOR,INC_PUBYEAR,GRIFFIN,CAMERON,LAT,LONG,START_MONTH,END_MONTH,END_YEAR,TIME,TIME_CAT,FREQ_ACD,FREQ_ACD_NUM,PCD,POP,d,PYO,PYO_APPR,DIAGNOSTIC,CLINICAL_DEF,CASE_DENS_THRESH,PR_AUTHOR,PR_PUBYEAR,PR_MONTH,PR_YEAR,N_SURVEYS,PR_LAR,PR_UAR,AGE_MATCH,N,N_POS,N_POS_ADJ,PR,PR_DIAGNOSTIC,PapPR_Stand,PR_Stand,PMID,PR_PMID
NA,Asembo Bay,Siaya,Kenya,1476.92,0,0.4,None,NA,56,8,8,midSeason,1,1992,8195_01,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,816,320,216.6667,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,1500,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.242256364,10348241,
NA,Asembo Bay,Siaya,Kenya,2590.72,0.5,0.9,None,NA,56,8,8,midSeason,1,1992,8195_02,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,433,307,118.5,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,6000,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.340373204,10348241,
NA,Asembo Bay,Siaya,Kenya,1637.2,1,2,None,NA,56,8,8,midSeason,1,1992,8195_03,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,321,179,109.3333,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,7000,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.380111745,10348241,
NA,Asembo Bay,Siaya,Kenya,614.56,2,3,None,NA,56,8,8,midSeason,1,1992,8195_04,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,250,57,92.75,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,7000,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.402724863,10348241,
NA,Asembo Bay,Siaya,Kenya,577.6,3,4,None,NA,56,8,8,midSeason,1,1992,8195_05,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,400,98,169.6667,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,3500,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.406434207,10348241,
NA,Asembo Bay,Siaya,Kenya,240.24,5,9,None,NA,56,8,8,midSeason,1,1992,8195_06,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,499,59,245.5833,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,1500,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.407155832,10348241,
NA,Asembo Bay,Siaya,Kenya,217.9,10,14,None,NA,56,8,8,midSeason,1,1992,8195_07,Bloland,1999,No,Yes,-0.1794,34.3839,6,7,1994,2,24 mo,Fortnightly,14,Yes,262,28,128.5,0,Microscopy,Fever + parasitemia >= cutoff given in Table 1 by age group ,500,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.378963355,10348241,
chonyi_1999,Chonyi,Kilifi_South,Kenya,1340,0,1,None,22-53,34,5,4,highSeason,1,1999,5511_19,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,48,126,94.0214,0,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,0,1,1,NA,NA,NA,0.1962,Microscopy,0.1962,0.1962,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,1411,1,2,None,22-53,34,5,4,highSeason,1,1999,5511_20,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,19,54,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,1,2,1,NA,NA,NA,0.3878,Microscopy,0.3878,0.3878,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,1503,2,3,None,22-53,34,5,4,highSeason,1,1999,5511_21,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,19,57,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,2,3,1,NA,NA,NA,0.5837,Microscopy,0.5837,0.5837,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,1337,3,4,None,22-53,34,5,4,highSeason,1,1999,5511_22,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,19,51,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,3,4,1,NA,NA,NA,0.5704,Microscopy,0.5704,0.5704,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,982,4,5,None,22-53,34,5,4,highSeason,1,1999,5511_23,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,19,37,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,4,5,1,NA,NA,NA,0.5744,Microscopy,0.5744,0.5744,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,460,5,6,None,22-53,34,5,4,highSeason,1,1999,5511_24,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,19,17,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,5,6,1,NA,NA,NA,0.5913,Microscopy,0.5913,0.5913,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,510,6,7,None,22-53,34,5,4,highSeason,1,1999,5511_25,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,21,21,42,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,6,7,1,NA,NA,NA,0.6123,Microscopy,0.6123,0.6123,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,477,7,8,None,22-53,34,5,4,highSeason,1,1999,5511_26,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,21,20,42,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,7,8,1,NA,NA,NA,0.6292,Microscopy,0.6292,0.6292,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,372,8,9,None,22-53,34,5,4,highSeason,1,1999,5511_27,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,22,16,44,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,8,9,1,NA,NA,NA,0.629,Microscopy,0.629,0.629,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,304,9,10,None,22-53,34,5,4,highSeason,1,1999,5511_28,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,22,13,44,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,9,10,1,NA,NA,NA,0.6128,Microscopy,0.6128,0.6128,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,276,10,11,None,22-53,34,5,4,highSeason,1,1999,5511_29,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,22,12,44,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,10,11,1,NA,NA,NA,0.5859,Microscopy,0.5859,0.5859,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,279,11,14,None,22-53,34,5,4,highSeason,1,1999,5511_30,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,98,55,196,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,12,15,0,NA,NA,NA,0.449,Microscopy,0.460500018,0.460500018,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,234,15,19,None,22-53,34,5,4,highSeason,1,1999,5511_31,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,83,39,166,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,15,19,1,NA,NA,NA,0.372,Microscopy,0.372,0.372,15871128,
