month,densitybin,agebin,count_asex,bin_total_asex,asexual_par_dens_freq,count_gamet,bin_total_gamet,gametocyte_dens_freq,Site
7,0,5,2,4,0.5,0,5,0,Laye_2007
7,50,5,0,4,0,0,5,0,Laye_2007
7,500,5,0,4,0,0,5,0,Laye_2007
7,5000,5,0,4,0,5,5,1,Laye_2007
7,50000,5,1,4,0.25,0,5,0,Laye_2007
7,5000000,5,1,4,0.25,0,5,0,Laye_2007
7,0,15,4,18,0.222222222,3,21,0.142857143,Laye_2007
7,50,15,1,18,0.055555556,9,21,0.428571429,Laye_2007
7,500,15,2,18,0.111111111,8,21,0.380952381,Laye_2007
7,5000,15,3,18,0.166666667,1,21,0.047619048,Laye_2007
7,50000,15,2,18,0.111111111,0,21,0,Laye_2007
7,5000000,15,6,18,0.333333333,0,21,0,Laye_2007
7,0,80,7,27,0.259259259,16,27,0.592592593,Laye_2007
7,50,80,9,27,0.333333333,4,27,0.148148148,Laye_2007
7,500,80,4,27,0.148148148,6,27,0.222222222,Laye_2007
7,5000,80,2,27,0.074074074,1,27,0.037037037,Laye_2007
7,50000,80,4,27,0.148148148,0,27,0,Laye_2007
7,5000000,80,1,27,0.037037037,0,27,0,Laye_2007
9,0,5,0,3,0,1,3,0.333333333,Laye_2007
9,50,5,1,3,0.333333333,0,3,0,Laye_2007
9,500,5,0,3,0,1,3,0.333333333,Laye_2007
9,5000,5,1,3,0.333333333,1,3,0.333333333,Laye_2007
9,50000,5,1,3,0.333333333,0,3,0,Laye_2007
9,5000000,5,0,3,0,0,3,0,Laye_2007
9,0,15,13,18,0.722222222,2,19,0.105263158,Laye_2007
9,50,15,1,18,0.055555556,4,19,0.210526316,Laye_2007
9,500,15,0,18,0,8,19,0.421052632,Laye_2007
9,5000,15,3,18,0.166666667,4,19,0.210526316,Laye_2007
9,50000,15,0,18,0,1,19,0.052631579,Laye_2007
9,5000000,15,1,18,0.055555556,0,19,0,Laye_2007
9,0,80,9,25,0.36,7,25,0.28,Laye_2007
9,50,80,12,25,0.48,10,25,0.4,Laye_2007
9,500,80,3,25,0.12,5,25,0.2,Laye_2007
9,5000,80,0,25,0,3,25,0.12,Laye_2007
9,50000,80,1,25,0.04,0,25,0,Laye_2007
9,5000000,80,0,25,0,0,25,0,Laye_2007
1,0,5,1,2,0.5,1,2,0.5,Laye_2007
1,50,5,0,2,0,0,2,0,Laye_2007
1,500,5,0,2,0,0,2,0,Laye_2007
1,5000,5,0,2,0,1,2,0.5,Laye_2007
1,50000,5,1,2,0.5,0,2,0,Laye_2007
1,5000000,5,0,2,0,0,2,0,Laye_2007
1,0,15,8,20,0.4,7,20,0.35,Laye_2007
1,50,15,1,20,0.05,9,20,0.45,Laye_2007
1,500,15,1,20,0.05,3,20,0.15,Laye_2007
1,5000,15,6,20,0.3,1,20,0.05,Laye_2007
1,50000,15,3,20,0.15,0,20,0,Laye_2007
1,5000000,15,1,20,0.05,0,20,0,Laye_2007
1,0,80,10,27,0.37037037,14,27,0.518518519,Laye_2007
1,50,80,11,27,0.407407407,10,27,0.37037037,Laye_2007
1,500,80,4,27,0.148148148,3,27,0.111111111,Laye_2007
1,5000,80,2,27,0.074074074,0,27,0,Laye_2007
1,50000,80,0,27,0,0,27,0,Laye_2007
1,5000000,80,0,27,0,0,27,0,Laye_2007
