Site,mean_rel_diff,mean_abs_diff,corr_slope,corr_r_squared,mean_rel_slope_diff,mean_abs_slpe_diff
chonyi_1999_month7,0.6825254910261515,0.3393820994465812,0.15663097557129418,0.4301695105868461,12.214132279434569,0.042317923534964316
dielmo_1990_monthmultiple,0.5711687112890077,0.3965314003825952,0.6219099246260963,0.9274859257167195,0.8630959749052143,0.020346956805853512
dongubougou_1999_monthmultiple,0.2921917392007317,0.17073999016392666,0.13038640523567407,0.09423861595745166,0.6506923472111071,0.02470917658914631
ebolakounou_1997_monthmultiple,0.6858638609195971,0.3886452217302862,-0.10398602600941884,0.09180777382837431,0.8668243442164759,0.010454242841899759
koundou_1997_monthmultiple,0.5614177043381496,0.3462386846857258,0.43728547052724426,0.7472381451807503,1.3249240850644364,0.005923631221470194
matsari_1970_month10,0.39820928816459034,0.18674109376023418,0.7863094941336288,0.9256435924626562,1.3770296193627964,0.012248340369871116
matsari_1970_month2,0.6299855911450253,0.3950905744647875,0.7864003185032957,0.9932297717710127,,0.0024505860481569366
matsari_1970_month7,0.4404135744799402,0.23401638055083646,0.676475606141136,0.8707864429680627,0.9187147875941257,0.008318495110730701
ndiop_1993_monthmultiple,0.4657205735231557,0.14894292742359438,0.5214373120598216,0.795715073267172,0.6319126797626777,0.008540974359763517
ngerenya_1999_month7,0.8510846198405031,0.2561096994580539,-0.002692043148475208,0.00011484196242583901,0.9246367805158167,0.03231061623631442
rafin_marke_1970_month10,0.33576501065627096,0.14162445663845127,0.889262048689702,0.7164946161179646,0.5855068867610722,0.01670433705872292
rafin_marke_1970_month2,0.6895323478189561,0.39644790640199684,0.3791186726125504,0.9147342032022373,0.49487086565326166,0.007303359628916402
rafin_marke_1970_month7,0.36662216745724924,0.1732038206493545,0.5313418689033182,0.8040591037631534,60.7957816844913,0.010211641021033455
sotuba_1999_monthmultiple,2.484336072291313,0.18349964579147138,0.1513331198191235,0.01728434589322891,3.9181738234540444,0.008653389560842968
sugungum_1970_month10,0.46487882168073275,0.21334317162823746,0.892301300941384,0.9153345760653759,1.881581244676297,0.008059387929131905
sugungum_1970_month2,0.6236851050207368,0.3273411507035959,0.5575133570794679,0.8693862147591017,1.8861647797218364,0.009580442352786923
sugungum_1970_month7,0.2850904482414568,0.12479898222550063,0.7565180071793607,0.7648414997099265,1.7616882910570792,0.012480177680226892
all_sites,0.7060172162703156,0.26559137003721556,,,,
