site_month,loglike_asex,benchmark_loglike_asex,loglike_gamet,benchmark_loglike_gamet
matsari_1970_month2,-388.5658647314641,-388.5658647314641,-1126.5067540609252,-1126.5067540609252
matsari_1970_month7,-622.6123330019673,-622.6123330019673,-647.0310739624263,-647.0310739624263
matsari_1970_month10,-925.2131658352293,-925.2131658352293,-1214.3526893895782,-1214.3526893895782
rafin_marke_1970_month2,-151.38873119340678,-151.38873119340678,-239.0289626836029,-239.0289626836029
rafin_marke_1970_month7,-646.3403432364206,-646.3403432364206,-661.756709133003,-661.756709133003
rafin_marke_1970_month10,-554.7327641446915,-554.7327641446915,-876.7543574963095,-876.7543574963095
sugungum_1970_month2,-547.6560613702462,-547.6560613702462,-1327.1606844138018,-1327.1606844138018
sugungum_1970_month7,-1105.657401526858,-1105.657401526858,-982.89151714405,-982.89151714405
sugungum_1970_month10,-1513.5441864504005,-1513.5441864504005,-2254.2505145215273,-2254.2505145215273
laye_2007_month7,-63.207838404281006,-63.207838404281006,-74.69789236018474,-74.69789236018474
laye_2007_month9,-85.93548761815548,-85.93548761815548,-inf,-inf
laye_2007_month1,-37.23525174199905,-37.23525174199905,-25.42118634676641,-25.42118634676641
dapelogo_2007_month7,-70.52422100003385,-70.52422100003385,-inf,-inf
dapelogo_2007_month9,-55.79528949321428,-55.79528949321428,-43.3042021524024,-43.3042021524024
dapelogo_2007_month1,-51.00728916075721,-51.00728916075721,-inf,-inf
